1891 Brooklyn Grooms	0.445	5.58
1891 Chicago Colts	0.599	6.07
1891 Pittsburgh Pirates	0.401	4.96
1891 Columbus Solons	0.442	5.09
1891 Cincinnati Reds	0.406	4.68
1891 Philadelphia Phillies	0.493	5.48
1891 Baltimore Orioles	0.511	6.12
1891 Boston Reds	0.669	7.4
1891 Washington Statesmen	0.317	4.97
1891 Boston Beaneaters	0.621	6.05
1891 Louisville Colonels	0.383	5.06
1891 St. Louis Browns	0.603	6.92
1891 Cleveland Spiders	0.461	5.92
1891 Philadelphia Athletics	0.51	5.71
1892 Chicago Colts	0.476	4.32
1892 Baltimore Orioles	0.303	5.13
1892 Boston Beaneaters	0.671	5.67
1892 Cleveland Spiders	0.608	5.59
1892 New York Giants	0.464	5.3
1892 Washington Senators	0.379	4.78
1892 Louisville Colonels	0.409	4.21
1892 Cincinnati Reds	0.529	4.94
1892 Philadelphia Phillies	0.561	5.55
1892 Pittsburgh Pirates	0.516	5.17
1892 St. Louis Browns	0.361	4.54
1892 Brooklyn Grooms	0.601	5.92
1893 Louisville Colonels	0.397	6.02
1893 Chicago Colts	0.438	6.48
1893 Cleveland Spiders	0.566	7.57
1893 Baltimore Orioles	0.462	6.31
1893 Brooklyn Grooms	0.5	5.96
1893 Washington Senators	0.308	5.55
1893 Boston Beaneaters	0.656	7.69
1893 Cincinnati Reds	0.496	5.79
1893 Pittsburgh Pirates	0.618	7.4
1893 Philadelphia Phillies	0.541	7.6
1893 St. Louis Browns	0.422	5.52
1893 New York Giants	0.5	6.92
1894 Baltimore Orioles	0.69	9.08
1894 Philadelphia Phillies	0.55	8.86
1894 Cleveland Spiders	0.523	7.17
1894 Louisville Colonels	0.277	5.32
1894 Cincinnati Reds	0.417	6.89
1894 Pittsburgh Pirates	0.492	7.23
1894 Washington Senators	0.341	6.68
1894 Boston Beaneaters	0.624	9.17
1894 St. Louis Browns	0.421	5.8
1894 Brooklyn Grooms	0.522	7.62
1894 Chicago Colts	0.422	7.71
1894 New York Giants	0.642	6.86
1895 Cleveland Spiders	0.641	7
1895 Baltimore Orioles	0.659	7.64
1895 Boston Beaneaters	0.538	6.87
1895 Cincinnati Reds	0.5	6.84
1895 New York Giants	0.5	6.45
1895 Washington Senators	0.326	6.34
1895 Brooklyn Grooms	0.534	6.52
1895 Chicago Colts	0.541	6.51
1895 Louisville Colonels	0.263	5.25
1895 Philadelphia Phillies	0.586	8.03
1895 Pittsburgh Pirates	0.53	6.05
1895 St. Louis Browns	0.289	5.53
1896 Cincinnati Reds	0.602	6.12
1896 Philadelphia Phillies	0.477	6.85
1896 Pittsburgh Pirates	0.504	6.01
1896 St. Louis Browns	0.305	4.53
1896 Baltimore Orioles	0.682	7.54
1896 Boston Beaneaters	0.561	6.52
1896 Chicago Colts	0.538	6.17
1896 Brooklyn Bridegrooms	0.436	5.2
1896 New York Giants	0.481	6.23
1896 Washington Senators	0.436	6.15
1896 Louisville Colonels	0.284	4.87
1896 Cleveland Spiders	0.593	6.22
1897 Cleveland Spiders	0.523	5.86
1897 St. Louis Browns	0.22	4.45
1897 Cincinnati Reds	0.567	5.69
1897 Louisville Colonels	0.388	4.99
1897 Philadelphia Phillies	0.41	5.61
1897 Boston Beaneaters	0.689	7.59
1897 Pittsburgh Pirates	0.444	5.01
1897 Washington Senators	0.452	5.79
1897 Baltimore Orioles	0.662	7.09
1897 Brooklyn Bridegrooms	0.449	5.9
1897 New York Giants	0.606	6.53
1897 Chicago Colts	0.428	6.03
1898 Brooklyn Bridegrooms	0.362	4.28
